document,label,index,form,posTag,nerLabel,head,depLabel,keywords
0,van_hoa,8,sơn_tùng_m-tp,Np,B-PER,7,pob,"[{'entertainment': 1}, {'sơn_tùng': 1, 'm-tp': 1, 'nguyễn_thanh_tùng': 1}, {'ngày': 1, 'người': 2, 'hâm_mộ': 1, 'đi': 1, 'bất_ngờ': 1, 'khác': 1, 'khi': 1, 'liên_tiếp': 1, 'ra_mắt': 1, 'nghệ_sĩ': 2, 'độc_quyền': 1, 'trực_thuộc': 1, 'bắt_gặp': 1, 'hình_ảnh': 1, 'chủ_tịch': 1, 'chụp': 1, 'hình': 1, 'cùng': 1, 'được': 1, 'công_bố': 1, 'khoảnh_khắc': 1, 'nam': 1, 'ca_sĩ': 1, 'xuất_hiện': 1, 'bên': 1, 'cạnh': 1, 'đạo_diễn': 1, 'khiến': 1, 'nhiều': 1, 'khỏi': 1, 'chú_ý': 1}]"
0,van_hoa,12,nguyễn_thanh_tùng,Np,B-PER,8,nmod,"[{'entertainment': 1}, {'sơn_tùng': 1, 'm-tp': 1, 'nguyễn_thanh_tùng': 1}, {'ngày': 1, 'người': 2, 'hâm_mộ': 1, 'đi': 1, 'bất_ngờ': 1, 'khác': 1, 'khi': 1, 'liên_tiếp': 1, 'ra_mắt': 1, 'nghệ_sĩ': 2, 'độc_quyền': 1, 'trực_thuộc': 1, 'bắt_gặp': 1, 'hình_ảnh': 1, 'chủ_tịch': 1, 'chụp': 1, 'hình': 1, 'cùng': 1, 'được': 1, 'công_bố': 1, 'khoảnh_khắc': 1, 'nam': 1, 'ca_sĩ': 1, 'xuất_hiện': 1, 'bên': 1, 'cạnh': 1, 'đạo_diễn': 1, 'khiến': 1, 'nhiều': 1, 'khỏi': 1, 'chú_ý': 1}]"
1,van_hoa,18,sơn_tùng_m-tp,Np,B-PER,17,pob,"[{}, {'sơn_tùng': 2, 'm-tp': 2, 'happy': 1}, {'là': 1, 'ngôi_sao': 1, 'trẻ': 1, 'có': 2, 'sức': 1, 'ảnh_hưởng': 1, 'lớn': 1, 'việt': 1, 'động_thái': 1, 'khiến': 1, 'dư_luận': 1, 'chú_ý': 1, 'giấu': 1, 'sự': 1, 'hào_hứng': 1, 'khi': 1, 'tóc': 2, 'mới': 1, 'trạng_thái': 1, 'dài': 1, 'viết': 1, 'anh': 1, 'eventually': 1, 'i': 1, 'got': 1, 'back': 1, 'to': 1, 'this': 1, 'hairstyle': 1, 'man': 1, 'monday': 1, 'guys': 1, 'cuối_cùng': 1, 'trở_lại': 1, 'kiểu': 1}]"
1,van_hoa,1,happy,Np,B-PER,2,sub,"[{}, {'sơn_tùng': 2, 'm-tp': 2, 'happy': 1}, {'là': 1, 'ngôi_sao': 1, 'trẻ': 1, 'có': 2, 'sức': 1, 'ảnh_hưởng': 1, 'lớn': 1, 'việt': 1, 'động_thái': 1, 'khiến': 1, 'dư_luận': 1, 'chú_ý': 1, 'giấu': 1, 'sự': 1, 'hào_hứng': 1, 'khi': 1, 'tóc': 2, 'mới': 1, 'trạng_thái': 1, 'dài': 1, 'viết': 1, 'anh': 1, 'eventually': 1, 'i': 1, 'got': 1, 'back': 1, 'to': 1, 'this': 1, 'hairstyle': 1, 'man': 1, 'monday': 1, 'guys': 1, 'cuối_cùng': 1, 'trở_lại': 1, 'kiểu': 1}]"
2,doi_song,12,tùng_sơn,Np,B-PER,8,nmod,"[{}, {'tùng': 1, 'sơn': 1, 'trang_lou': 1}, {'là': 1, 'chuyện': 1, 'tình': 1, 'đáng': 1, 'ngưỡng_mộ': 1, 'cặp': 1, 'trang_lou': 1, 'người': 1, 'nghĩ': 1, 'chàng': 1, 'trai': 2, 'bên': 1, 'cạnh': 1, 'bạn': 2, 'năm': 4, 'tuổi': 2, 'cùng': 1, 'đi': 2, 'suốt': 1, 'cuộc_đời': 1, 'gần': 1, 'qua': 1, 'ngược_xuôi': 1, 'ngang_dọc': 1, 'giữ': 1, 'chặt': 1, 'tay': 1, 'nhau': 1, 'thêm': 1, 'nhiều': 1, 'lần': 1, 'đường': 1, 'đời': 1, 'dài_dằng_dặc': 1}]"
2,doi_song,39,trang_lou,Np,B-PER,38,pob,"[{}, {'tùng': 1, 'sơn': 1, 'trang_lou': 1}, {'là': 1, 'chuyện': 1, 'tình': 1, 'đáng': 1, 'ngưỡng_mộ': 1, 'cặp': 1, 'trang_lou': 1, 'người': 1, 'nghĩ': 1, 'chàng': 1, 'trai': 2, 'bên': 1, 'cạnh': 1, 'bạn': 2, 'năm': 4, 'tuổi': 2, 'cùng': 1, 'đi': 2, 'suốt': 1, 'cuộc_đời': 1, 'gần': 1, 'qua': 1, 'ngược_xuôi': 1, 'ngang_dọc': 1, 'giữ': 1, 'chặt': 1, 'tay': 1, 'nhau': 1, 'thêm': 1, 'nhiều': 1, 'lần': 1, 'đường': 1, 'đời': 1, 'dài_dằng_dặc': 1}]"
3,chinh_tri_xa_hoi,13,trần_minh_tùng,Np,B-PER,12,nmod,"[{'bộ': 1, 'giáo_dục': 1, 'và': 1, 'đào_tạo': 1}, {'trần_minh_tùng': 1}, {'khoá_luyện': 1, 'thi': 1, 'tốt_nghiệp': 1, 'thpt': 1, 'đại_học': 1, 'môn': 1, 'ngữ_văn': 1, 'năm': 1, 'thầy_giáo': 1, 'bám': 1, 'sát': 1, 'chương_trình': 1, 'ban_hành': 1}]"
4,the_thao,12,quang_hải,Np,B-PER,11,pob,"[{'tp': 1, 'hcm': 1, 'clb': 1, 'hà_nội': 1}, {'quang_hải': 1, 'huỳnh_anh': 1}, {'giống': 1, 'trận': 1, 'đấu': 1, 'trước_đây': 1, 'bạn': 2, 'gái': 1, 'tỏ': 2, 'e_thẹn': 1, 'ống_kính': 1, 'phóng_viên': 1, 'thân_mật': 1, 'bố_mẹ': 1, 'trai': 1, 'cùng': 1, 'bay': 1, 'cổ_vũ': 1, 'tiền_vệ': 1, 'đông_anh': 1}]"
4,the_thao,3,huỳnh_anh,Np,B-PER,5,sub,"[{'tp': 1, 'hcm': 1, 'clb': 1, 'hà_nội': 1}, {'quang_hải': 1, 'huỳnh_anh': 1}, {'giống': 1, 'trận': 1, 'đấu': 1, 'trước_đây': 1, 'bạn': 2, 'gái': 1, 'tỏ': 2, 'e_thẹn': 1, 'ống_kính': 1, 'phóng_viên': 1, 'thân_mật': 1, 'bố_mẹ': 1, 'trai': 1, 'cùng': 1, 'bay': 1, 'cổ_vũ': 1, 'tiền_vệ': 1, 'đông_anh': 1}]"
5,van_hoa,10,lương_mạnh_hải,Np,B-PER,9,nmod,"[{}, {'lương_mạnh_hải': 1, 'thanh_hằng': 1, 'vũ_ngọc_đãng': 1, 'minh_tú': 1, 'cao_thiên_trang': 1, 'tăng_thanh_hà': 1}, {'tối': 1, 'dự_án': 1, 'phim': 1, 'hoa_hậu': 1, 'giang_hồ': 1, 'đạo_diễn': 1, 'ra_mắt': 1, 'có': 1, 'sự': 3, 'tham_dự': 1, 'nhiều': 1, 'nghệ_sĩ': 1, 'đặc_biệt': 1, 'xuất_hiện': 1, 'thảm_đỏ': 1, 'thu_hút': 1, 'quan_tâm': 1, 'báo_giới': 1}]"
